#Device;NGC103
#Device Name;NO NAME
#Format;LOG
#Date;2000-01-01
#Version;01.005-02.430-03.730
#Serial No.;000100954
#Mode;Unlimited
#Logging Interval[s];0.001
#Specified Logging Count;-----
#Specified Logging Time[s];-----
#Sequence;Off
#CH1 Voltage Target[V];4.200
#CH1 Current Target[A];0.200
#CH1 Sequence Delay[s];-----
#CH1 EasyArb;Off
#CH1 OVP;Off
#CH1 OPP;Off
#CH1 Ramp;Off
#CH1 Analog in;Off
#Start Time;00:43:54
#Stop Time;00:44:23
#Actual Count; 29911      
U1[V];I1[A];Timestamp
4.196;0.0750;00:43:54:368
4.228;0.0430;00:43:54:369
4.180;0.0730;00:43:54:370
4.196;0.0410;00:43:54:371
4.196;0.0740;00:43:54:372
4.196;0.0970;00:43:54:373
4.196;0.0410;00:43:54:374
4.196;0.0410;00:43:54:375
4.204;0.0740;00:43:54:376
4.196;0.0750;00:43:54:377
4.196;0.0410;00:43:54:378
4.204;0.0420;00:43:54:379
4.196;0.0740;00:43:54:380
4.196;0.0750;00:43:54:381
4.220;0.0420;00:43:54:382
4.188;0.0440;00:43:54:383
4.204;0.0730;00:43:54:384
4.196;0.0750;00:43:54:385
4.188;0.0440;00:43:54:386
4.204;0.0750;00:43:54:387
4.188;0.0410;00:43:54:388
4.204;0.0750;00:43:54:389
4.196;0.0860;00:43:54:390
4.196;0.0750;00:43:54:391
4.212;0.0410;00:43:54:392
4.196;0.0740;00:43:54:393
4.196;0.0750;00:43:54:394
4.212;0.0750;00:43:54:395
4.236;0.0430;00:43:54:396
4.180;0.0730;00:43:54:397
4.196;0.0750;00:43:54:398
4.220;0.0750;00:43:54:399
4.196;0.0970;00:43:54:400
4.196;0.0410;00:43:54:401
4.196;0.0750;00:43:54:402
4.196;0.0970;00:43:54:403
4.196;0.0750;00:43:54:404
4.196;0.0410;00:43:54:405
4.204;0.0740;00:43:54:406
4.196;0.0740;00:43:54:407
4.196;0.0750;00:43:54:408
4.212;0.0420;00:43:54:409
4.188;0.0740;00:43:54:410
4.196;0.0750;00:43:54:411
4.196;0.0750;00:43:54:412
4.188;0.0440;00:43:54:413
4.204;0.0730;00:43:54:414
4.196;0.0740;00:43:54:415
4.204;0.0750;00:43:54:416
4.196;0.0750;00:43:54:417
4.188;0.0410;00:43:54:418
4.204;0.0740;00:43:54:419
4.196;0.0740;00:43:54:420
4.196;0.0750;00:43:54:421
4.196;0.0390;00:43:54:422
4.196;0.0740;00:43:54:423
4.172;0.0730;00:43:54:424
4.196;0.0750;00:43:54:425
4.228;0.0410;00:43:54:426
4.180;0.0730;00:43:54:427
4.196;0.0390;00:43:54:428
4.196;0.0750;00:43:54:429
4.196;0.0970;00:43:54:430
4.196;0.0390;00:43:54:431
4.196;0.0390;00:43:54:432
4.204;0.0740;00:43:54:433
4.196;0.0750;00:43:54:434
4.196;0.0390;00:43:54:435
4.212;0.0410;00:43:54:436
4.188;0.0740;00:43:54:437
4.196;0.0750;00:43:54:438
4.220;0.0400;00:43:54:439
4.180;0.0420;00:43:54:440
4.204;0.0730;00:43:54:441
4.196;0.0750;00:43:54:442
4.188;0.0420;00:43:54:443
4.196;0.0750;00:43:54:444
4.188;0.0390;00:43:54:445
4.204;0.0740;00:43:54:446
4.196;0.0920;00:43:54:447
4.196;0.0750;00:43:54:448
4.212;0.0390;00:43:54:449
4.196;0.0740;00:43:54:450
4.196;0.0750;00:43:54:451
4.196;0.0750;00:43:54:452
4.236;0.0410;00:43:54:453
4.180;0.0730;00:43:54:454
4.196;0.0750;00:43:54:455
4.196;0.0740;00:43:54:456
4.196;0.0970;00:43:54:457
4.196;0.0390;00:43:54:458
4.196;0.0740;00:43:54:459
4.204;0.0740;00:43:54:460
4.196;0.0750;00:43:54:461
4.196;0.0390;00:43:54:462
4.204;0.0740;00:43:54:463
4.196;0.0740;00:43:54:464
4.196;0.0750;00:43:54:465
4.212;0.0400;00:43:54:466
4.188;0.0740;00:43:54:467
4.196;0.0730;00:43:54:468
4.196;0.0750;00:43:54:469
4.188;0.0420;00:43:54:470
4.204;0.0730;00:43:54:471
4.196;0.0390;00:43:54:472
4.204;0.0740;00:43:54:473
4.196;0.0780;00:43:54:474
4.188;0.0390;00:43:54:475
4.196;0.0390;00:43:54:476
4.196;0.0740;00:43:54:477
4.196;0.0750;00:43:54:478
4.212;0.0390;00:43:54:479
4.196;0.0410;00:43:54:480
4.172;0.0730;00:43:54:481
4.196;0.0750;00:43:54:482
4.253;0.0060;00:43:54:483
4.180;0.0970;00:43:54:484
4.196;0.0020;00:43:54:485
4.196;0.0740;00:43:54:486
4.196;0.0970;00:43:54:487
4.204;0.0750;00:43:54:488
4.188;0.0030;00:43:54:489
4.204;0.0740;00:43:54:490
4.196;0.0750;00:43:54:491
4.188;0.0020;00:43:54:492
4.220;0.0040;00:43:54:493
4.180;0.0730;00:43:54:494
4.196;0.0750;00:43:54:495
4.228;0.0040;00:43:54:496
4.188;0.0080;00:43:54:497
4.212;0.0700;00:43:54:498
